group,layer_index,op_name,family,fused,fused_nodes,wall_median_ms_median,wall_median_ms_p10,wall_median_ms_p90,wall_median_ms_cv,compute_wall_median_ms_median,compute_wall_median_ms_p10,compute_wall_median_ms_p90,compute_wall_median_ms_cv,barrier_wall_median_ms_median,barrier_wall_median_ms_p10,barrier_wall_median_ms_p90,barrier_wall_median_ms_cv,logical_read_bytes_median,logical_read_bytes_p10,logical_read_bytes_p90,logical_read_bytes_cv,logical_write_bytes_median,logical_write_bytes_p10,logical_write_bytes_p90,logical_write_bytes_cv,q1_logical_read_bytes_median,q1_logical_read_bytes_p10,q1_logical_read_bytes_p90,q1_logical_read_bytes_cv,q8_logical_read_bytes_median,q8_logical_read_bytes_p10,q8_logical_read_bytes_p90,q8_logical_read_bytes_cv,q1_wall_median_ms_median,q1_wall_median_ms_p10,q1_wall_median_ms_p90,q1_wall_median_ms_cv,f32_to_q8_wall_median_ms_median,f32_to_q8_wall_median_ms_p10,f32_to_q8_wall_median_ms_p90,f32_to_q8_wall_median_ms_cv
layer=5|op=ADD|family=ADD,5,ADD,ADD,False,1,0.010771,0.0101083,0.0212043,0.360881153283231,0.0095625,0.0087461,0.018725000000000002,0.3684211433710717,0.0085205,0.0077334000000000005,0.0193205,0.4374873017421869,40960.0,40960.0,40960.0,0.0,20480.0,20480.0,20480.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=5|op=CONCAT|family=CONCAT,5,CONCAT,CONCAT,False,1,0.088125,0.08751679999999999,0.4105418,1.1003803248409891,0.086583,0.08636719999999999,0.0912658,0.035095769969748884,0.086208,0.08593379999999999,0.4081170000000001,1.1080126850783742,163840.0,163840.0,163840.0,0.0,163840.0,163840.0,163840.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=5|op=GATED_DELTA_NET|family=GATED_DELTA_NET,5,GATED_DELTA_NET,GATED_DELTA_NET,False,1,1.101083,1.0681748,1.159975,0.03690753559193284,1.091458,1.0597830000000001,1.1533836,0.037916592539623255,0.161958,0.1079252,0.20291700000000001,0.2768089566750013,3187072.0,3187072.0,3187072.0,0.0,3170304.0,3170304.0,3170304.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=5|op=GET_ROWS|family=GET_ROWS,5,GET_ROWS,GET_ROWS,False,1,0.024375,0.0233418,0.0261082,0.05055408228461799,0.023292,0.0222002,0.0245414,0.044354201134698894,0.023542,0.022383,0.0250334,0.05142358219256847,122884.0,122884.0,122884.0,0.0,122880.0,122880.0,122880.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=5|op=GLU|family=GLU,5,GLU,GLU,False,1,0.047959,0.0469916,0.18585859999999998,0.6597748241315956,0.045917,0.0455586,0.1821164,0.6658916621380294,0.044917,0.0444168,0.18321679999999999,0.6779359671368294,139264.0,139264.0,139264.0,0.0,69632.0,69632.0,69632.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=5|op=L2_NORM|family=L2_NORM,5,L2_NORM,L2_NORM,False,1,0.0061875,0.0059376,0.006867,0.06787522816400655,0.004750000000000001,0.0046502,0.0052457,0.055723479489668507,0.0040625,0.0036793000000000004,0.0045752,0.09622107224507696,8192.0,8192.0,8192.0,0.0,8192.0,8192.0,8192.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=5|op=MUL_MAT|family=MUL_MAT,5,MUL_MAT,MUL_MAT,False,1,2.273584,2.2636914,2.3167666,0.010650631820636317,2.270417,2.2586416000000002,2.3108586,0.010404398701332746,0.171292,0.1609002,0.1908666,0.07948502582343113,12554240.0,12554240.0,12554240.0,0.0,24576.0,24576.0,24576.0,0.0,12533760.0,12533760.0,12533760.0,0.0,23674880.0,23674880.0,23674880.0,0.0,2.255541,2.2465998,2.2781086,0.006903997769121774,0.0,0.0,0.0,
layer=5|op=MUL|family=MUL,5,MUL,MUL,False,1,0.003208,0.0029502,0.0035088,0.07607781698437421,0.002083,0.001758,0.002425,0.15215685498515283,0.001791,0.0016330000000000001,0.0022002,0.15347793822810957,384.0,384.0,384.0,0.0,192.0,192.0,192.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=5|op=RMS_NORM|family=fused:RMS_NORM,5,RMS_NORM,fused:RMS_NORM,True,2,0.01325,0.0124086,0.052467,0.6786923063877306,0.012083,0.011492200000000001,0.0443332,0.6429794836917427,0.011625,0.0108666,0.0490584,0.704297260234539,20480.0,20480.0,20480.0,0.0,20480.0,20480.0,20480.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=5|op=SSM_CONV|family=SSM_CONV,5,SSM_CONV,SSM_CONV,False,1,0.041958,0.0403922,0.049142000000000005,0.0913888070238319,0.0395,0.0391918,0.0473586,0.09256139111021693,0.016292,0.015892200000000002,0.017150000000000002,0.03422130338414595,327680.0,327680.0,327680.0,0.0,40960.0,40960.0,40960.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
