run,steady_token_count,token_wall_median_ms,q1_packed_weight_read_bytes_per_token,q8_activation_logical_read_bytes_per_token,q8_activation_unique_read_bytes_descriptor_per_token,observed_ddr_read_bytes_per_token,observed_ddr_write_bytes_per_token,q1_gemv_ms,f32_to_q8_ms,other_compute_ms,barrier_sync_ms,unattributed_ms
pair01,3,894.09475,3603087360.0,6805831680.0,105039872.0,,,682.70499,0.0,176.991444,33.568556,0.82976
pair02,3,903.749709,3603087360.0,6805831680.0,105039872.0,,,676.796089,0.0,184.953082,40.857938,1.1426
pair03,3,889.152751,3603087360.0,6805831680.0,105039872.0,,,672.991113,0.0,177.897838,37.44797,0.81583
pair04,3,897.562125,3603087360.0,6805831680.0,105039872.0,,,676.433207,0.0,183.364101,36.555186,1.209631
pair05,3,898.823001,3603087360.0,6805831680.0,105039872.0,,,678.12005,0.0,184.446892,35.403014,0.853045
